Date : 2025-10-17 15:02:33
Directory : d:\GITHUB - YULEISY\MatriTrack-Obstetricia
Total : 139 files,  26063 codes, 511 comments, 1238 blanks, all 27812 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| frontend\src\app\components                                                                                                                        |         14 |        504 |         29 |        102 |        635 |
| frontend\src\app\components\no-autorizado                                                                                                          |          4 |         35 |          0 |         11 |         46 |
| frontend\src\app\components\notfound                                                                                                               |          4 |         28 |          0 |         11 |         39 |
| frontend\src\app\components\sidebar                                                                                                                |          6 |        441 |         29 |         80 |        550 |
| frontend\src\app\features                                                                                                                          |         41 |      3,901 |        298 |        667 |      4,866 |
| frontend\src\app\features\Analisis                                                                                                                 |          8 |        439 |        117 |        101 |        657 |
| frontend\src\app\features\Analisis\pages                                                                                                           |          8 |        439 |        117 |        101 |        657 |
| frontend\src\app\features\Analisis\pages\crear-editar-analisis                                                                                     |          4 |         28 |          0 |         11 |         39 |
| frontend\src\app\features\Analisis\pages\listado-analisis                                                                                          |          4 |        411 |        117 |         90 |        618 |
| frontend\src\app\features\HistorialMedico                                                                                                          |          6 |        621 |         26 |        103 |        750 |
| frontend\src\app\features\HistorialMedico\pages                                                                                                    |          4 |        603 |         24 |         94 |        721 |
| frontend\src\app\features\HistorialMedico\pages\listado-historialmedico                                                                            |          4 |        603 |         24 |         94 |        721 |
| frontend\src\app\features\HistorialMedico\services                                                                                                 |          2 |         18 |          2 |          9 |         29 |
| frontend\src\app\features\Paciente                                                                                                                 |         11 |      1,129 |         58 |        178 |      1,365 |
| frontend\src\app\features\Paciente\model                                                                                                           |          1 |         22 |          1 |          1 |         24 |
| frontend\src\app\features\Paciente\pages                                                                                                           |          8 |      1,053 |         56 |        162 |      1,271 |
| frontend\src\app\features\Paciente\pages\crear-paciente-historial                                                                                  |          4 |        424 |         34 |         65 |        523 |
| frontend\src\app\features\Paciente\pages\listado-pacientes                                                                                         |          4 |        629 |         22 |         97 |        748 |
| frontend\src\app\features\Paciente\services                                                                                                        |          2 |         54 |          1 |         15 |         70 |
| frontend\src\app\features\UsuarioObstetra                                                                                                          |         16 |      1,712 |         97 |        285 |      2,094 |
| frontend\src\app\features\UsuarioObstetra\pages                                                                                                    |         12 |      1,544 |         97 |        248 |      1,889 |
| frontend\src\app\features\UsuarioObstetra\pages\crear&editar-obstetra                                                                              |          4 |        602 |         31 |         84 |        717 |
| frontend\src\app\features\UsuarioObstetra\pages\listado-obstetras                                                                                  |          4 |        592 |         31 |        112 |        735 |
| frontend\src\app\features\UsuarioObstetra\pages\login                                                                                              |          4 |        350 |         35 |         52 |        437 |
| frontend\src\app\features\UsuarioObstetra\services                                                                                                 |          4 |        168 |          0 |         37 |        205 |
| frontend\src\app\interceptors                                                                                                                      |          2 |         25 |          0 |         10 |         35 |
| frontend\src\core                                                                                                                                  |          2 |         34 |          3 |         10 |         47 |
| frontend\src\core\guards                                                                                                                           |          2 |         34 |          3 |         10 |         47 |
+----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                           | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\.prettierrc                                                                                     | JSON               |          4 |          0 |          1 |          5 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\README.md                                                                                       | Markdown           |         68 |          2 |         29 |         99 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\nest-cli.json                                                                                   | JSON               |          9 |          0 |          1 |         10 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\package-lock.json                                                                               | JSON               |      9,518 |          0 |          1 |      9,519 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\package.json                                                                                    | JSON               |         84 |          0 |          1 |         85 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\app.controller.spec.ts                                                                      | TypeScript         |         18 |          0 |          5 |         23 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\app.controller.ts                                                                           | TypeScript         |         10 |          0 |          3 |         13 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\app.module.ts                                                                               | TypeScript         |         58 |          5 |          5 |         68 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\app.service.ts                                                                              | TypeScript         |          7 |          1 |          2 |         10 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\auth\auth.module.ts                                                                         | TypeScript         |         22 |          0 |          1 |         23 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\auth\auth.service.spec.ts                                                                   | TypeScript         |         14 |          0 |          5 |         19 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\auth\auth.service.ts                                                                        | TypeScript         |          3 |          1 |          1 |          5 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\auth\decorators\current-user.decorator.ts                                                   | TypeScript         |          7 |          0 |          1 |          8 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\auth\decorators\roles.decorator.ts                                                          | TypeScript         |          3 |          0 |          1 |          4 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\auth\guards\jwt-auth.guard.ts                                                               | TypeScript         |          9 |          0 |          1 |         10 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\auth\guards\roles.guard.ts                                                                  | TypeScript         |         23 |          0 |          8 |         31 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\auth\jwt.strategy.ts                                                                        | TypeScript         |         23 |          0 |          3 |         26 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\enums\Estado.ts                                                                             | TypeScript         |          5 |          0 |          1 |          6 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\enums\MotivoFin.ts                                                                          | TypeScript         |          5 |          1 |          2 |          8 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\enums\RolUsuario.ts                                                                         | TypeScript         |          4 |          0 |          1 |          5 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\enums\Sexo.ts                                                                               | TypeScript         |          4 |          0 |          1 |          5 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\enums\TipoParto.ts                                                                          | TypeScript         |          4 |          0 |          1 |          5 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\enums\TipoSangre.ts                                                                         | TypeScript         |         10 |          0 |          1 |         11 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\main.ts                                                                                     | TypeScript         |         19 |          4 |          6 |         29 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\analisis\model\analisis.entity.ts                                                   | TypeScript         |         13 |          3 |          4 |         20 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\control-diagnostico\model\control_diagnostico.entity.ts                             | TypeScript         |         52 |          9 |         17 |         78 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\control-puerperio\model\control_puerperio.entity.ts                                 | TypeScript         |         57 |         10 |         19 |         86 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\historial-medico\Dto\create-historialMedico.dto.ts                                  | TypeScript         |         17 |          0 |          4 |         21 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\historial-medico\Dto\index.ts                                                       | TypeScript         |          2 |          0 |          0 |          2 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\historial-medico\Dto\response-historialMedico.dto.ts                                | TypeScript         |          8 |          0 |          2 |         10 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\historial-medico\historial-medico.module.ts                                         | TypeScript         |          9 |          0 |          2 |         11 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\historial-medico\mapper\historialMedico.mapper.ts                                   | TypeScript         |         28 |          0 |          3 |         31 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\historial-medico\model\historial_medico.entity.ts                                   | TypeScript         |         35 |          6 |         12 |         53 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\paciente\dto\create-paciente.dto.ts                                                 | TypeScript         |         49 |          1 |         10 |         60 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\paciente\dto\response-paciente.dto.ts                                               | TypeScript         |         27 |          1 |          3 |         31 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\paciente\dto\update-paciente.dto.ts                                                 | TypeScript         |         43 |          0 |          9 |         52 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\paciente\mapper\paciente.mapper.ts                                                  | TypeScript         |         72 |          7 |          7 |         86 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\paciente\model\paciente.entity.ts                                                   | TypeScript         |         46 |          3 |         15 |         64 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\paciente\paciente.controller.spec.ts                                                | TypeScript         |         14 |          0 |          5 |         19 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\paciente\paciente.controller.ts                                                     | TypeScript         |         67 |          5 |          9 |         81 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\paciente\paciente.module.ts                                                         | TypeScript         |         15 |          0 |          1 |         16 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\paciente\paciente.service.spec.ts                                                   | TypeScript         |         14 |          0 |          5 |         19 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\paciente\paciente.service.ts                                                        | TypeScript         |        160 |         21 |         24 |        205 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\programa-diagnostico\model\programa_diagnostico.entity.ts                           | TypeScript         |         46 |          9 |         14 |         69 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\programa-puerperio\model\programa_puerperio.entity.ts                               | TypeScript         |         44 |          5 |         12 |         61 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\resultado-analisis\model\resultado-analisis.entity.ts                               | TypeScript         |         44 |          7 |         14 |         65 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\usuario\dto\create-usuario.dto.ts                                                   | TypeScript         |         48 |          0 |         10 |         58 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\usuario\dto\login.dto.ts                                                            | TypeScript         |         13 |          0 |          3 |         16 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\usuario\dto\update-usuario.dto.ts                                                   | TypeScript         |         39 |          1 |         12 |         52 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\usuario\model\usuario.entity.ts                                                     | TypeScript         |         40 |         12 |         16 |         68 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\usuario\usuario.controller.spec.ts                                                  | TypeScript         |         14 |          0 |          5 |         19 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\usuario\usuario.controller.ts                                                       | TypeScript         |         96 |          7 |          7 |        110 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\usuario\usuario.module.ts                                                           | TypeScript         |         13 |          1 |          2 |         16 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\usuario\usuario.service.spec.ts                                                     | TypeScript         |         14 |          0 |          5 |         19 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\usuario\usuario.service.ts                                                          | TypeScript         |        202 |         17 |         27 |        246 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\test\app.e2e-spec.ts                                                                            | TypeScript         |         21 |          0 |          5 |         26 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\test\jest-e2e.json                                                                              | JSON               |          9 |          0 |          1 |         10 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\tsconfig.build.json                                                                             | JSON               |          4 |          0 |          1 |          5 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\tsconfig.json                                                                                   | JSON with Comments |         24 |          0 |          0 |         24 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\README.md                                                                                      | Markdown           |         36 |          0 |         24 |         60 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\angular.json                                                                                   | JSON               |        105 |          0 |          1 |        106 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\package-lock.json                                                                              | JSON               |      9,790 |          0 |          1 |      9,791 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\package.json                                                                                   | JSON               |         56 |          0 |          1 |         57 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\app.config.server.ts                                                                   | TypeScript         |         10 |          0 |          3 |         13 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\app.config.ts                                                                          | TypeScript         |         14 |          0 |          3 |         17 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\app.css                                                                                | PostCSS            |         15 |          3 |          5 |         23 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\app.html                                                                               | HTML               |         10 |          0 |          2 |         12 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\app.routes.server.ts                                                                   | TypeScript         |          7 |          0 |          2 |          9 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\app.routes.ts                                                                          | TypeScript         |         53 |          6 |         10 |         69 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\app.spec.ts                                                                            | TypeScript         |         20 |          0 |          4 |         24 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\app.ts                                                                                 | TypeScript         |         27 |          2 |          4 |         33 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\components\no-autorizado\no-autorizado.css                                             | PostCSS            |          0 |          0 |          1 |          1 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\components\no-autorizado\no-autorizado.html                                            | HTML               |          3 |          0 |          1 |          4 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\components\no-autorizado\no-autorizado.spec.ts                                         | TypeScript         |         18 |          0 |          6 |         24 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\components\no-autorizado\no-autorizado.ts                                              | TypeScript         |         14 |          0 |          3 |         17 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\components\notfound\notfound.css                                                       | PostCSS            |          0 |          0 |          1 |          1 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\components\notfound\notfound.html                                                      | HTML               |          1 |          0 |          1 |          2 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\components\notfound\notfound.spec.ts                                                   | TypeScript         |         18 |          0 |          6 |         24 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\components\notfound\notfound.ts                                                        | TypeScript         |          9 |          0 |          3 |         12 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\components\sidebar\sidebar.css                                                         | PostCSS            |        205 |         20 |         42 |        267 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\components\sidebar\sidebar.html                                                        | HTML               |        119 |          4 |          7 |        130 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\components\sidebar\sidebar.service.spec.ts                                             | TypeScript         |         12 |          0 |          5 |         17 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\components\sidebar\sidebar.service.ts                                                  | TypeScript         |         15 |          0 |          3 |         18 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\components\sidebar\sidebar.spec.ts                                                     | TypeScript         |         18 |          0 |          6 |         24 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\components\sidebar\sidebar.ts                                                          | TypeScript         |         72 |          5 |         17 |         94 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\features\Analisis\pages\crear-editar-analisis\crear-editar-analisis.css                | PostCSS            |          0 |          0 |          1 |          1 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\features\Analisis\pages\crear-editar-analisis\crear-editar-analisis.html               | HTML               |          1 |          0 |          1 |          2 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\features\Analisis\pages\crear-editar-analisis\crear-editar-analisis.spec.ts            | TypeScript         |         18 |          0 |          6 |         24 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\features\Analisis\pages\crear-editar-analisis\crear-editar-analisis.ts                 | TypeScript         |          9 |          0 |          3 |         12 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\features\Analisis\pages\listado-analisis\listado-analisis.css                          | PostCSS            |        322 |         17 |         74 |        413 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\features\Analisis\pages\listado-analisis\listado-analisis.html                         | HTML               |         62 |        100 |          7 |        169 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\features\Analisis\pages\listado-analisis\listado-analisis.spec.ts                      | TypeScript         |         18 |          0 |          6 |         24 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\features\Analisis\pages\listado-analisis\listado-analisis.ts                           | TypeScript         |          9 |          0 |          3 |         12 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\features\HistorialMedico\pages\listado-historialmedico\listado-historialmedico.css     | PostCSS            |        322 |         17 |         74 |        413 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\features\HistorialMedico\pages\listado-historialmedico\listado-historialmedico.html    | HTML               |        192 |          6 |          9 |        207 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\features\HistorialMedico\pages\listado-historialmedico\listado-historialmedico.spec.ts | TypeScript         |         18 |          0 |          6 |         24 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\features\HistorialMedico\pages\listado-historialmedico\listado-historialmedico.ts      | TypeScript         |         71 |          1 |          5 |         77 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\features\HistorialMedico\services\historialmedico.service.spec.ts                      | TypeScript         |         12 |          0 |          5 |         17 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\features\HistorialMedico\services\historialmedico.service.ts                           | TypeScript         |          6 |          2 |          4 |         12 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\features\Paciente\model\paciente-historial.ts                                          | TypeScript         |         22 |          1 |          1 |         24 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\features\Paciente\pages\crear-paciente-historial\crear-paciente-historial.css          | PostCSS            |        180 |          6 |         26 |        212 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\features\Paciente\pages\crear-paciente-historial\crear-paciente-historial.html         | HTML               |        155 |         12 |         14 |        181 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\features\Paciente\pages\crear-paciente-historial\crear-paciente-historial.spec.ts      | TypeScript         |         18 |          0 |          6 |         24 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\features\Paciente\pages\crear-paciente-historial\crear-paciente-historial.ts           | TypeScript         |         71 |         16 |         19 |        106 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\features\Paciente\pages\listado-pacientes\listado-pacientes.css                        | PostCSS            |        322 |         17 |         74 |        413 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\features\Paciente\pages\listado-pacientes\listado-pacientes.html                       | HTML               |        188 |          4 |         11 |        203 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\features\Paciente\pages\listado-pacientes\listado-pacientes.spec.ts                    | TypeScript         |         18 |          0 |          6 |         24 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\features\Paciente\pages\listado-pacientes\listado-pacientes.ts                         | TypeScript         |        101 |          1 |          6 |        108 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\features\Paciente\services\paciente.service.spec.ts                                    | TypeScript         |         12 |          0 |          5 |         17 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\features\Paciente\services\paciente.service.ts                                         | TypeScript         |         42 |          1 |         10 |         53 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\features\UsuarioObstetra\pages\crear&editar-obstetra\register-user.spec.ts             | TypeScript         |         18 |          0 |          6 |         24 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\features\UsuarioObstetra\pages\crear&editar-obstetra\registerEditar-user.css           | PostCSS            |        251 |         14 |         45 |        310 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\features\UsuarioObstetra\pages\crear&editar-obstetra\registerEditar-user.html          | HTML               |        165 |          4 |         10 |        179 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\features\UsuarioObstetra\pages\crear&editar-obstetra\registerEditar-user.ts            | TypeScript         |        168 |         13 |         23 |        204 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\features\UsuarioObstetra\pages\listado-obstetras\listado-obstetras.css                 | PostCSS            |        322 |         17 |         74 |        413 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\features\UsuarioObstetra\pages\listado-obstetras\listado-obstetras.html                | HTML               |        151 |          4 |          7 |        162 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\features\UsuarioObstetra\pages\listado-obstetras\listado-obstetras.spec.ts             | TypeScript         |         18 |          0 |          6 |         24 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\features\UsuarioObstetra\pages\listado-obstetras\listado-obstetras.ts                  | TypeScript         |        101 |         10 |         25 |        136 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\frontend\src\app\features\UsuarioObstetra\pages\login\login.css                                         | PostCSS            |         55 |          2 |         12 |         69 |
