Date : 2025-12-05 17:00:48
Directory : d:\GITHUB - YULEISY\MatriTrack-Obstetricia
Total : 273 files,  38528 codes, 1046 comments, 2922 blanks, all 42496 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| backend\src\modules\historial-medico (Files)                                                                                                                                   |          5 |        184 |          2 |         31 |        217 |
| backend\src\modules\historial-medico\Dto                                                                                                                                       |          4 |         51 |          0 |         10 |         61 |
| backend\src\modules\historial-medico\mapper                                                                                                                                    |          1 |         55 |          0 |          8 |         63 |
| backend\src\modules\historial-medico\model                                                                                                                                     |          1 |         35 |          6 |         12 |         53 |
| backend\src\modules\paciente                                                                                                                                                   |         11 |        580 |         47 |        105 |        732 |
| backend\src\modules\paciente (Files)                                                                                                                                           |          5 |        313 |         33 |         54 |        400 |
| backend\src\modules\paciente\dto                                                                                                                                               |          4 |        149 |          5 |         29 |        183 |
| backend\src\modules\paciente\mapper                                                                                                                                            |          1 |         72 |          6 |          7 |         85 |
| backend\src\modules\paciente\model                                                                                                                                             |          1 |         46 |          3 |         15 |         64 |
| backend\src\modules\programa-diagnostico                                                                                                                                       |         10 |        665 |         64 |        112 |        841 |
| backend\src\modules\programa-diagnostico (Files)                                                                                                                               |          3 |        404 |         49 |         65 |        518 |
| backend\src\modules\programa-diagnostico\Dto                                                                                                                                   |          5 |        134 |          5 |         27 |        166 |
| backend\src\modules\programa-diagnostico\mapper                                                                                                                                |          1 |         79 |          3 |          6 |         88 |
| backend\src\modules\programa-diagnostico\model                                                                                                                                 |          1 |         48 |          7 |         14 |         69 |
| backend\src\modules\programa-puerperio                                                                                                                                         |         10 |        625 |         32 |         88 |        745 |
| backend\src\modules\programa-puerperio (Files)                                                                                                                                 |          3 |        377 |         21 |         51 |        449 |
| backend\src\modules\programa-puerperio\dto                                                                                                                                     |          5 |        133 |          6 |         19 |        158 |
| backend\src\modules\programa-puerperio\mapper                                                                                                                                  |          1 |         68 |          2 |          6 |         76 |
| backend\src\modules\programa-puerperio\model                                                                                                                                   |          1 |         47 |          3 |         12 |         62 |
| backend\src\modules\resultado-analisis                                                                                                                                         |          7 |        386 |         11 |         71 |        468 |
| backend\src\modules\resultado-analisis (Files)                                                                                                                                 |          2 |        131 |          2 |         14 |        147 |
| backend\src\modules\resultado-analisis\dto                                                                                                                                     |          2 |         60 |          0 |         11 |         71 |
| backend\src\modules\resultado-analisis\mapper                                                                                                                                  |          1 |         19 |          0 |          5 |         24 |
| backend\src\modules\resultado-analisis\model                                                                                                                                   |          1 |         43 |          1 |         16 |         60 |
| backend\src\modules\resultado-analisis\service                                                                                                                                 |          1 |        133 |          8 |         25 |        166 |
| backend\src\modules\usuario                                                                                                                                                    |         10 |        575 |         47 |        108 |        730 |
| backend\src\modules\usuario (Files)                                                                                                                                            |          5 |        387 |         31 |         56 |        474 |
| backend\src\modules\usuario\dto                                                                                                                                                |          4 |        148 |          4 |         36 |        188 |
| backend\src\modules\usuario\model                                                                                                                                              |          1 |         40 |         12 |         16 |         68 |
| backend\test                                                                                                                                                                   |          2 |         30 |          0 |          6 |         36 |
| frontend                                                                                                                                                                       |        156 |     23,754 |        661 |      2,008 |     26,423 |
| frontend (Files)                                                                                                                                                               |          7 |     10,142 |          4 |         30 |     10,176 |
| frontend\src                                                                                                                                                                   |        149 |     13,612 |        657 |      1,978 |     16,247 |
| frontend\src (Files)                                                                                                                                                           |          5 |         63 |         24 |         18 |        105 |
| frontend\src\app                                                                                                                                                               |        137 |     13,181 |        621 |      1,874 |     15,676 |
| frontend\src\app (Files)                                                                                                                                                       |          8 |        285 |          8 |         49 |        342 |
| frontend\src\app\components                                                                                                                                                    |         18 |        666 |         57 |        130 |        853 |
| frontend\src\app\components\no-autorizado                                                                                                                                      |          4 |         35 |          0 |         11 |         46 |
| frontend\src\app\components\notfound                                                                                                                                           |          4 |         28 |          0 |         11 |         39 |
| frontend\src\app\components\paginacion                                                                                                                                         |          4 |        141 |         24 |         26 |        191 |
| frontend\src\app\components\sidebar                                                                                                                                            |          6 |        462 |         33 |         82 |        577 |
| frontend\src\app\features                                                                                                                                                      |        109 |     11,857 |        541 |      1,626 |     14,024 |
| frontend\src\app\features\Analisis                                                                                                                                             |          7 |        642 |         33 |         86 |        761 |
| frontend\src\app\features\Analisis\model                                                                                                                                       |          1 |          6 |          0 |          1 |          7 |
| frontend\src\app\features\Analisis\pages                                                                                                                                       |          4 |        562 |         33 |         71 |        666 |
| frontend\src\app\features\Analisis\pages\listado-analisis                                                                                                                      |          4 |        562 |         33 |         71 |        666 |
| frontend\src\app\features\Analisis\services                                                                                                                                    |          2 |         74 |          0 |         14 |         88 |
| frontend\src\app\features\ControlDiagnostico                                                                                                                                   |         11 |        964 |          1 |        152 |      1,117 |
| frontend\src\app\features\ControlDiagnostico\model                                                                                                                             |          1 |         30 |          0 |          5 |         35 |
| frontend\src\app\features\ControlDiagnostico\pages                                                                                                                             |          8 |        859 |          1 |        133 |        993 |
| frontend\src\app\features\ControlDiagnostico\pages\crear-editar-control                                                                                                        |          4 |        364 |          0 |         63 |        427 |
| frontend\src\app\features\ControlDiagnostico\pages\listar-controles                                                                                                            |          4 |        495 |          1 |         70 |        566 |
| frontend\src\app\features\ControlDiagnostico\service                                                                                                                           |          2 |         75 |          0 |         14 |         89 |
| frontend\src\app\features\DetalleAnalisis                                                                                                                                      |         14 |      1,535 |         44 |        229 |      1,808 |
| frontend\src\app\features\DetalleAnalisis\consulta-ver-resultados                                                                                                              |          4 |        431 |         13 |         68 |        512 |
| frontend\src\app\features\DetalleAnalisis\crear-editar-resultado-analisis                                                                                                      |          4 |        424 |         11 |         57 |        492 |
| frontend\src\app\features\DetalleAnalisis\listar-resultado-analisis                                                                                                            |          4 |        560 |         12 |         72 |        644 |
| frontend\src\app\features\DetalleAnalisis\services                                                                                                                             |          2 |        120 |          8 |         32 |        160 |
| frontend\src\app\features\HistorialMedico                                                                                                                                      |         15 |      1,738 |         48 |        221 |      2,007 |
| frontend\src\app\features\HistorialMedico\model                                                                                                                                |          1 |         19 |          0 |          4 |         23 |
| frontend\src\app\features\HistorialMedico\pages                                                                                                                                |         12 |      1,675 |         42 |        206 |      1,923 |
| frontend\src\app\features\HistorialMedico\pages\detalle-programa-historialmedico                                                                                               |          4 |        640 |          7 |         61 |        708 |
| frontend\src\app\features\HistorialMedico\pages\listado-historialmedico                                                                                                        |          4 |        675 |         25 |         71 |        771 |
| frontend\src\app\features\HistorialMedico\pages\programas-historialmedico                                                                                                      |          4 |        360 |         10 |         74 |        444 |
| frontend\src\app\features\HistorialMedico\services                                                                                                                             |          2 |         44 |          6 |         11 |         61 |
| frontend\src\app\features\Paciente                                                                                                                                             |         12 |      1,021 |         54 |        120 |      1,195 |
| frontend\src\app\features\Paciente\model                                                                                                                                       |          1 |         16 |          1 |          2 |         19 |
| frontend\src\app\features\Paciente\pages                                                                                                                                       |          9 |        916 |         52 |        102 |      1,070 |
| frontend\src\app\features\Paciente\pages\crear-paciente-historial                                                                                                              |          3 |        269 |         22 |         37 |        328 |
| frontend\src\app\features\Paciente\pages\editar-paciente                                                                                                                       |          3 |        291 |         17 |         34 |        342 |
| frontend\src\app\features\Paciente\pages\listado-pacientes                                                                                                                     |          3 |        356 |         13 |         31 |        400 |
| frontend\src\app\features\Paciente\services                                                                                                                                    |          2 |         89 |          1 |         16 |        106 |
| frontend\src\app\features\ProgramaDiagnostico                                                                                                                                  |         15 |      2,141 |        113 |        322 |      2,576 |
| frontend\src\app\features\ProgramaDiagnostico\model                                                                                                                            |          1 |         34 |          2 |         11 |         47 |
| frontend\src\app\features\ProgramaDiagnostico\pages                                                                                                                            |         12 |      2,025 |        102 |        294 |      2,421 |
| frontend\src\app\features\ProgramaDiagnostico\pages\crear-editar-prog-diagnostico                                                                                              |          4 |        853 |         50 |        131 |      1,034 |
| frontend\src\app\features\ProgramaDiagnostico\pages\finalizar-programa-modal                                                                                                   |          4 |        250 |          9 |         51 |        310 |
| frontend\src\app\features\ProgramaDiagnostico\pages\programa-diagnostico-list.component                                                                                        |          4 |        922 |         43 |        112 |      1,077 |
| frontend\src\app\features\ProgramaDiagnostico\services                                                                                                                         |          2 |         82 |          9 |         17 |        108 |
| frontend\src\app\features\Puerperio                                                                                                                                            |         21 |      2,299 |        157 |        287 |      2,743 |
| frontend\src\app\features\Puerperio\ControlPuerperio                                                                                                                           |         10 |      1,156 |         90 |        149 |      1,395 |
| frontend\src\app\features\Puerperio\ControlPuerperio\Pages                                                                                                                     |          7 |      1,039 |         47 |        131 |      1,217 |
| frontend\src\app\features\Puerperio\ControlPuerperio\Pages\crear-editar-controlpuerperio                                                                                       |          3 |        360 |         23 |         41 |        424 |
| frontend\src\app\features\Puerperio\ControlPuerperio\Pages\listar-controlpuerperio                                                                                             |          4 |        679 |         24 |         90 |        793 |
| frontend\src\app\features\Puerperio\ControlPuerperio\model                                                                                                                     |          1 |         32 |         35 |          4 |         71 |
| frontend\src\app\features\Puerperio\ControlPuerperio\service                                                                                                                   |          2 |         85 |          8 |         14 |        107 |
| frontend\src\app\features\Puerperio\ProgramaPuerperio                                                                                                                          |         11 |      1,143 |         67 |        138 |      1,348 |
| frontend\src\app\features\Puerperio\ProgramaPuerperio\Pages                                                                                                                    |          8 |        988 |         53 |        114 |      1,155 |
| frontend\src\app\features\Puerperio\ProgramaPuerperio\Pages\crear-editar-programapuerperio                                                                                     |          4 |        442 |         26 |         59 |        527 |
| frontend\src\app\features\Puerperio\ProgramaPuerperio\Pages\listar-programapuerperio                                                                                           |          4 |        546 |         27 |         55 |        628 |
| frontend\src\app\features\Puerperio\ProgramaPuerperio\model                                                                                                                    |          1 |         56 |         10 |          9 |         75 |
| frontend\src\app\features\Puerperio\ProgramaPuerperio\service                                                                                                                  |          2 |         99 |          4 |         15 |        118 |
| frontend\src\app\features\UsuarioObstetra                                                                                                                                      |         14 |      1,517 |         91 |        209 |      1,817 |
| frontend\src\app\features\UsuarioObstetra\pages                                                                                                                                |         10 |      1,317 |         87 |        164 |      1,568 |
| frontend\src\app\features\UsuarioObstetra\pages\crear&editar-obstetra                                                                                                          |          3 |        350 |         17 |         39 |        406 |
| frontend\src\app\features\UsuarioObstetra\pages\listado-obstetras                                                                                                              |          3 |        351 |         17 |         33 |        401 |
| frontend\src\app\features\UsuarioObstetra\pages\login                                                                                                                          |          4 |        616 |         53 |         92 |        761 |
| frontend\src\app\features\UsuarioObstetra\services                                                                                                                             |          4 |        200 |          4 |         45 |        249 |
| frontend\src\app\styles                                                                                                                                                        |          2 |        373 |         15 |         69 |        457 |
| frontend\src\core                                                                                                                                                              |          5 |         86 |         11 |         28 |        125 |
| frontend\src\core\API_Response-interfaces                                                                                                                                      |          1 |         23 |          5 |          5 |         33 |
| frontend\src\core\guards                                                                                                                                                       |          2 |         38 |          6 |         13 |         57 |
| frontend\src\core\interceptors                                                                                                                                                 |          2 |         25 |          0 |         10 |         35 |
| frontend\src\styles                                                                                                                                                            |          2 |        282 |          1 |         58 |        341 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                                                       | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\.prettierrc                                                                                                                 | JSON               |          4 |          0 |          1 |          5 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\README.md                                                                                                                   | Markdown           |         68 |          2 |         29 |         99 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\nest-cli.json                                                                                                               | JSON               |          9 |          0 |          1 |         10 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\package-lock.json                                                                                                           | JSON               |      9,531 |          0 |          1 |      9,532 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\package.json                                                                                                                | JSON               |         85 |          0 |          1 |         86 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\app.controller.spec.ts                                                                                                  | TypeScript         |         18 |          0 |          5 |         23 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\app.controller.ts                                                                                                       | TypeScript         |         10 |          0 |          3 |         13 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\app.module.ts                                                                                                           | TypeScript         |         71 |          0 |          5 |         76 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\app.service.ts                                                                                                          | TypeScript         |          7 |          1 |          2 |         10 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\auth\auth.module.ts                                                                                                     | TypeScript         |         23 |          0 |          2 |         25 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\auth\auth.service.spec.ts                                                                                               | TypeScript         |         14 |          0 |          5 |         19 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\auth\auth.service.ts                                                                                                    | TypeScript         |          3 |          1 |          2 |          6 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\auth\decorators\current-user.decorator.ts                                                                               | TypeScript         |          7 |          0 |          2 |          9 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\auth\decorators\roles.decorator.ts                                                                                      | TypeScript         |          3 |          0 |          2 |          5 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\auth\guards\jwt-auth.guard.ts                                                                                           | TypeScript         |          9 |          0 |          1 |         10 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\auth\guards\roles.guard.ts                                                                                              | TypeScript         |         23 |          0 |          8 |         31 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\auth\jwt.strategy.ts                                                                                                    | TypeScript         |         24 |          0 |          4 |         28 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\enums\Estado.ts                                                                                                         | TypeScript         |          5 |          0 |          1 |          6 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\enums\MotivoFin.ts                                                                                                      | TypeScript         |          5 |          1 |          2 |          8 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\enums\MotivoFinPuerperio.ts                                                                                             | TypeScript         |          5 |          0 |          0 |          5 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\enums\RolUsuario.ts                                                                                                     | TypeScript         |          4 |          0 |          1 |          5 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\enums\Sexo.ts                                                                                                           | TypeScript         |          4 |          0 |          1 |          5 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\enums\TipoParto.ts                                                                                                      | TypeScript         |          4 |          0 |          1 |          5 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\enums\TipoSangre.ts                                                                                                     | TypeScript         |         10 |          0 |          1 |         11 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\main.ts                                                                                                                 | TypeScript         |         25 |          7 |         10 |         42 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\analisis\analisis.controller.spec.ts                                                                            | TypeScript         |         14 |          0 |          5 |         19 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\analisis\analisis.controller.ts                                                                                 | TypeScript         |         72 |          0 |          5 |         77 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\analisis\analisis.module.ts                                                                                     | TypeScript         |         12 |          0 |          2 |         14 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\analisis\analisis.service.spec.ts                                                                               | TypeScript         |         14 |          0 |          5 |         19 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\analisis\analisis.service.ts                                                                                    | TypeScript         |        145 |          4 |         12 |        161 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\analisis\dto\QueryAnalisis.dto.ts                                                                               | TypeScript         |         27 |          3 |          7 |         37 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\analisis\dto\create_analisis.dto.ts                                                                             | TypeScript         |         19 |          0 |          3 |         22 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\analisis\dto\response_analisis.dto.ts                                                                           | TypeScript         |          7 |          0 |          2 |          9 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\analisis\dto\update_analisis.dto.ts                                                                             | TypeScript         |         21 |          0 |          4 |         25 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\analisis\mapper\analisis.mapper.ts                                                                              | TypeScript         |         32 |          0 |          5 |         37 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\analisis\model\analisis.entity.ts                                                                               | TypeScript         |         19 |          2 |          4 |         25 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\control-diagnostico\Dto\create-control-diagnostico.dto.ts                                                       | TypeScript         |         55 |         11 |         10 |         76 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\control-diagnostico\Dto\query-control-diagnostico.dto.ts                                                        | TypeScript         |         23 |          0 |          4 |         27 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\control-diagnostico\Dto\update-control-diagnostico.dt.ts                                                        | TypeScript         |         45 |          1 |         10 |         56 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\control-diagnostico\control-diagnostico.controller.ts                                                           | TypeScript         |         75 |         12 |         10 |         97 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\control-diagnostico\control-diagnostico.module.ts                                                               | TypeScript         |         18 |          4 |          4 |         26 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\control-diagnostico\control-diagnostico.service.ts                                                              | TypeScript         |        148 |          7 |         23 |        178 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\control-diagnostico\mapper\control-diagnostico.mapper.ts                                                        | TypeScript         |         55 |         16 |         18 |         89 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\control-diagnostico\model\control_diagnostico.entity.ts                                                         | TypeScript         |         53 |          7 |         17 |         77 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\control-puerperio\control-puerperio.controller.ts                                                               | TypeScript         |         72 |          9 |          6 |         87 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\control-puerperio\control-puerperio.module.ts                                                                   | TypeScript         |         14 |          0 |          2 |         16 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\control-puerperio\control-puerperio.service.ts                                                                  | TypeScript         |        149 |         12 |         22 |        183 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\control-puerperio\dto\create-control-puerperio.dto.ts                                                           | TypeScript         |         67 |          5 |         12 |         84 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\control-puerperio\dto\query-control-puerperio.dto.ts                                                            | TypeScript         |         23 |          1 |          5 |         29 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\control-puerperio\dto\update-control-puerperio.dto.ts                                                           | TypeScript         |         54 |          0 |         11 |         65 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\control-puerperio\mapper\controlPuerperio.mapper.ts                                                             | TypeScript         |         48 |          1 |          3 |         52 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\control-puerperio\model\control_puerperio.entity.ts                                                             | TypeScript         |         55 |          9 |         19 |         83 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\historial-medico\Dto\create-historialMedico.dto.ts                                                              | TypeScript         |         15 |          0 |          4 |         19 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\historial-medico\Dto\index.ts                                                                                   | TypeScript         |          2 |          0 |          0 |          2 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\historial-medico\Dto\response-historialMedico.dto.ts                                                            | TypeScript         |         19 |          0 |          3 |         22 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\historial-medico\Dto\updateHistorialMedico.dto.ts                                                               | TypeScript         |         15 |          0 |          3 |         18 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\historial-medico\historial-medico.controller.spec.ts                                                            | TypeScript         |         14 |          0 |          5 |         19 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\historial-medico\historial-medico.controller.ts                                                                 | TypeScript         |         62 |          1 |          6 |         69 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\historial-medico\historial-medico.module.ts                                                                     | TypeScript         |         13 |          0 |          2 |         15 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\historial-medico\historial-medico.service.spec.ts                                                               | TypeScript         |         14 |          0 |          5 |         19 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\historial-medico\historial-medico.service.ts                                                                    | TypeScript         |         81 |          1 |         13 |         95 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\historial-medico\mapper\historialMedico.mapper.ts                                                               | TypeScript         |         55 |          0 |          8 |         63 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\historial-medico\model\historial_medico.entity.ts                                                               | TypeScript         |         35 |          6 |         12 |         53 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\paciente\dto\QueryPaciente.dto.ts                                                                               | TypeScript         |         30 |          3 |          7 |         40 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\paciente\dto\create-paciente.dto.ts                                                                             | TypeScript         |         49 |          1 |         10 |         60 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\paciente\dto\response-paciente.dto.ts                                                                           | TypeScript         |         27 |          1 |          3 |         31 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\paciente\dto\update-paciente.dto.ts                                                                             | TypeScript         |         43 |          0 |          9 |         52 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\paciente\mapper\paciente.mapper.ts                                                                              | TypeScript         |         72 |          6 |          7 |         85 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\paciente\model\paciente.entity.ts                                                                               | TypeScript         |         46 |          3 |         15 |         64 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\paciente\paciente.controller.spec.ts                                                                            | TypeScript         |         14 |          0 |          5 |         19 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\paciente\paciente.controller.ts                                                                                 | TypeScript         |         72 |          5 |         10 |         87 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\paciente\paciente.module.ts                                                                                     | TypeScript         |         15 |          0 |          1 |         16 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\paciente\paciente.service.spec.ts                                                                               | TypeScript         |         14 |          0 |          5 |         19 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\paciente\paciente.service.ts                                                                                    | TypeScript         |        198 |         28 |         33 |        259 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\programa-diagnostico\Dto\QueryProgramaDiagnostico.dto.ts                                                        | TypeScript         |         44 |          4 |         10 |         58 |
| d:\GITHUB - YULEISY\MatriTrack-Obstetricia\backend\src\modules\programa-diagnostico\Dto\create-programa.diagnostico.dto.ts                                                     | TypeScript         |         29 |          0 |          8 |         37 |
